cdm_semantic_meaning,description,extends_trait,parameters,dbt_labels
means.idea.discount,,means.idea,,category:idea|subcategory:discount|role:dimension
means.idea.discountType,,means.idea,,category:idea|subcategory:discountType|role:dimension
means.idea.email,,means.idea,,category:idea|subcategory:email|role:dimension
means.idea.entitlement,,means.idea,,category:idea|subcategory:entitlement|role:dimension
means.idea.equipment,,means.idea,,category:idea|subcategory:equipment|role:dimension
means.idea.fax,,means.idea,,category:idea|subcategory:fax|role:dimension
means.idea.feedback,,means.idea,,category:idea|subcategory:feedback|role:dimension
means.idea.goal,,means.idea,,category:idea|subcategory:goal|role:dimension
means.idea.incident,,means.idea,,category:idea|subcategory:incident|role:dimension
means.idea.invoice,,means.idea,,category:idea|subcategory:invoice|role:dimension
means.idea.invoiceDetail,,means.idea,,category:idea|subcategory:invoiceDetail|role:dimension
means.idea.KbArticle,,means.idea,,category:idea|subcategory:KbArticle|role:dimension
means.idea.knowledgeArticle,,means.idea,,category:idea|subcategory:knowledgeArticle|role:dimension
means.idea.lead,,means.idea,,category:idea|subcategory:lead|role:dimension
means.idea.leadAddress,,means.idea,,category:idea|subcategory:leadAddress|role:dimension
means.idea.letter,,means.idea,,category:idea|subcategory:letter|role:dimension
means.idea.metric,,means.idea,,category:idea|subcategory:metric|role:dimension
means.idea.opportunity,,means.idea,,category:idea|subcategory:opportunity|role:dimension
means.idea.owner,,means.idea,,category:idea|subcategory:owner|role:dimension
means.idea.phoneCall,,means.idea,,category:idea|subcategory:phoneCall|role:dimension
means.idea.place,,means.idea,,category:idea|subcategory:place|role:dimension
means.idea.position,,means.idea,,category:idea|subcategory:position|role:dimension
means.idea.priceLevel,,means.idea,,category:idea|subcategory:priceLevel|role:dimension
means.idea.productGroup,,means.idea,,category:idea|subcategory:productGroup|role:dimension
means.idea.quote,,means.idea,,category:idea|subcategory:quote|role:dimension
means.idea.ratingModel,,means.idea,,category:idea|subcategory:ratingModel|role:dimension
means.idea.resource,,means.idea,,category:idea|subcategory:resource|role:dimension
means.idea.resourceGroup,,means.idea,,category:idea|subcategory:resourceGroup|role:dimension
means.idea.salesLiterature,,means.idea,,category:idea|subcategory:salesLiterature|role:dimension
means.idea.salesOrder,,means.idea,,category:idea|subcategory:salesOrder|role:dimension
means.idea.service,,means.idea,,category:idea|subcategory:service|role:dimension
means.idea.serviceAppointment,,means.idea,,category:idea|subcategory:serviceAppointment|role:dimension
means.idea.site,,means.idea,,category:idea|subcategory:site|role:dimension
means.idea.SLA,A Service Level Agreement,means.idea,,category:idea|subcategory:SLA|role:dimension
means.idea.socialActivity,,means.idea,,category:idea|subcategory:socialActivity|role:dimension
means.idea.socialProfile,,means.idea,,category:idea|subcategory:socialProfile|role:dimension
means.idea.systemUser,,means.idea,,category:idea|subcategory:systemUser|role:dimension
means.idea.task,,means.idea,,category:idea|subcategory:task|role:dimension
means.idea.team,,means.idea,,category:idea|subcategory:team|role:dimension
means.idea.territory,,means.idea,,category:idea|subcategory:territory|role:dimension
means.idea.UoM,,means.idea,,category:idea|subcategory:UoM|role:dimension
means.reference.documentation,,means.reference,,category:reference|subcategory:documentation|role:dimension
means.reference.URI,A Uniform Resource Identifier,means.reference,,category:reference|subcategory:URI|role:dimension
means.reference.culture,,means.reference,,category:reference|subcategory:culture|role:dimension
means.reference.culture.tag,,means.reference.culture,,category:reference|subcategory:culture|type:tag|role:dimension
means.idea.employer,,means.idea,,category:idea|subcategory:employer|role:dimension
means.demographic.birthDate,,means.demographic,,category:demographic|subcategory:birthDate|data_class:confidential|pii:possible|role:dimension
means.demographic.income,,means.demographic,,category:demographic|subcategory:income|data_class:confidential|pii:possible|role:dimension
means.demographic.education,,means.demographic,,category:demographic|subcategory:education|data_class:confidential|pii:possible|role:dimension
means.formatting.stringFormat,indicates this value represents the format of a string,means.formatting,,category:formatting|subcategory:stringFormat|role:dimension
means.identity.person.prefix,"A salutation such as a title, rank or honorific to place before a person's name",means.identity.name,,category:identity|subcategory:person|type:prefix|pii:true|role:dimension
means.identity.person.suffix,"Follows a person's name and provides additional information about their position, education or honorific",means.identity.name,,category:identity|subcategory:person|type:suffix|pii:true|role:dimension
means.identity.IP4Address,Internet Protocol V4 Address,means.identity,,category:identity|subcategory:IP4Address|role:dimension
means.identity.IP6Address,Internet Protocol V6 Address,means.identity,,category:identity|subcategory:IP6Address|role:dimension
means.measurement.currency.revenue,,means.measurement.currency,,category:measurement|subcategory:currency|type:revenue|role:measure|default_aggregation:sum
means.measurement.probability,,means.measurement,,category:measurement|subcategory:probability|role:measure|default_aggregation:average
means.measurement.count,,means.measurement,,category:measurement|subcategory:count|role:measure|default_aggregation:sum
means.measurement.dimension,measurement of some physical dimension,means.measurement,dimension,category:measurement|subcategory:dimension|role:measure|default_aggregation:sum
means.measurement.dimension.time,measurement of time,means.measurement.dimension,,category:measurement|subcategory:dimension|type:time|role:dimension
means.measurement.dimension.length,measurement of length,means.measurement.dimension,,category:measurement|subcategory:dimension|type:length|role:measure|default_aggregation:sum
