cdm_manifest_name,cdm_manifest_path,cdm_version,dbt_schema_name
Worksheet,local:/core/operationsCommon/Tables/Finance/AccountingFoundation/Worksheet/Worksheet.1.2.manifest.cdm.json,1.2,worksheet
Bank,local:/core/operationsCommon/Tables/Finance/Bank/Bank.1.0.3.manifest.cdm.json,1.0.3,bank
Budget,local:/core/operationsCommon/Tables/Finance/Budget/Budget.1.0.3.manifest.cdm.json,1.0.3,budget
ComplianceAndInternalControls,local:/core/operationsCommon/Tables/Finance/ComplianceAndInternalControls/ComplianceAndInternalControls.1.0.3.manifest.cdm.json,1.0.3,compliance_and_internal_controls
EGAIS,local:/core/operationsCommon/Tables/Finance/EGAIS/EGAIS.1.0.3.manifest.cdm.json,1.0.3,egais
Expense,local:/core/operationsCommon/Tables/Finance/Expense/Expense.1.0.3.manifest.cdm.json,1.0.3,expense
ExportImportIndia,local:/core/operationsCommon/Tables/Finance/ExportImportIndia/ExportImportIndia.1.0.3.manifest.cdm.json,1.0.3,export_import_india
FinancialReporting,local:/core/operationsCommon/Tables/Finance/FinancialReporting/FinancialReporting.1.0.3.manifest.cdm.json,1.0.3,financial_reporting
FiscalBooksBrazil,local:/core/operationsCommon/Tables/Finance/FiscalBooksBrazil/FiscalBooksBrazil.1.0.3.manifest.cdm.json,1.0.3,fiscal_books_brazil
Ledger,local:/core/operationsCommon/Tables/Finance/Ledger/Ledger.1.0.3.manifest.cdm.json,1.0.3,ledger
PublicSector,local:/core/operationsCommon/Tables/Finance/PublicSector/PublicSector.1.0.3.manifest.cdm.json,1.0.3,public_sector
HumanResource,local:/core/operationsCommon/Tables/HumanResources/HumanResource/HumanResource.1.0.3.manifest.cdm.json,1.0.3,human_resource
Project,local:/core/operationsCommon/Tables/ProfessionalServices/Project/Project.1.0.3.manifest.cdm.json,1.0.3,project
Costing,local:/core/operationsCommon/Tables/SupplyChain/Costing/Costing.1.0.3.manifest.cdm.json,1.0.3,costing
Inventory,local:/core/operationsCommon/Tables/SupplyChain/Inventory/Inventory.1.0.3.manifest.cdm.json,1.0.3,inventory
Framework,local:/core/operationsCommon/Tables/System/SystemAdministration/Framework/Framework.1.2.manifest.cdm.json,1.2,framework
Production,local:/core/operationsCommon/Tables/SupplyChain/Production/Production.1.0.3.manifest.cdm.json,1.0.3,production
default,local:/CustomerInsightsJourneys/default.1.0.manifest.cdm.json,1.0,default
FinancialServices,local:/FinancialServices/FinancialServices.1.0.2.manifest.cdm.json,1.0.2,financial_services
FinancialServicesCommonDataModel CDM manifest,local:/FinancialServices/FinancialServicesCommonDataModel/FinancialServicesCommonDataModel.1.1.1.manifest.cdm.json,1.1.1,financial_services_common_data_model_cd_mmanifest
LoanOnboardingDataModel CDM manifest,local:/FinancialServices/LoanOnboardingDataModel/LoanOnboardingDataModel.1.1.manifest.cdm.json,1.1,loan_onboarding_data_model_cd_mmanifest
Property and Casualty Data Model CDM manifest,local:/FinancialServices/PropertyandCasualtyDataModel/PropertyandCasualtyDataModel.1.0.1.manifest.cdm.json,1.0.1,propertyand_casualty_data_model_cd_mmanifest
RetailBankingCoreDataModel CDM manifest,local:/FinancialServices/RetailBankingCoreDataModel/RetailBankingCoreDataModel.1.1.manifest.cdm.json,1.1,retail_banking_core_data_model_cd_mmanifest
Healthcare,local:/Healthcare/Healthcare.1.0.2.manifest.cdm.json,1.0.2,healthcare
Administration,local:/Healthcare/Administration/Administration.1.0.2.manifest.cdm.json,1.0.2,administration
AdministrationAppointmentEMR,local:/Healthcare/Administration/AdministrationAppointmentEMR/AdministrationAppointmentEMR.1.2.manifest.cdm.json,1.2,administration_appointment_emr
AdministrationCommunication,local:/Healthcare/Administration/AdministrationCommunication/AdministrationCommunication.1.2.manifest.cdm.json,1.2,administration_communication
AdministrationCore,local:/Healthcare/Administration/AdministrationCore/AdministrationCore.1.2.manifest.cdm.json,1.2,administration_core
AdministrationDevice,local:/Healthcare/Administration/AdministrationDevice/AdministrationDevice.1.2.manifest.cdm.json,1.2,administration_device
AdministrationEncounter,local:/Healthcare/Administration/AdministrationEncounter/AdministrationEncounter.1.2.manifest.cdm.json,1.2,administration_encounter
AdministrationHealthServices,local:/Healthcare/Administration/AdministrationHealthServices/AdministrationHealthServices.1.2.manifest.cdm.json,1.2,administration_health_services
Application,local:/Healthcare/Application/Application.1.0.2.manifest.cdm.json,1.0.2,application
HealthcareCareManagement,local:/Healthcare/Application/HealthcareCareManagement/HealthcareCareManagement.1.2.manifest.cdm.json,1.2,healthcare_care_management
HealthcareHomeHealth,local:/Healthcare/Application/HealthcareHomeHealth/HealthcareHomeHealth.1.2.manifest.cdm.json,1.2,healthcare_home_health
HealthcarePatientAccess,local:/Healthcare/Application/HealthcarePatientAccess/HealthcarePatientAccess.1.2.manifest.cdm.json,1.2,healthcare_patient_access
HealthcarePatientServiceCenter,local:/Healthcare/Application/HealthcarePatientServiceCenter/HealthcarePatientServiceCenter.1.0.manifest.cdm.json,1.0,healthcare_patient_service_center
AzureAPIforFHIRsupport,local:/Healthcare/AzureAPIforFHIRsupport/AzureAPIforFHIRsupport.1.0.2.manifest.cdm.json,1.0.2,azure_ap_ifor_fhi_rsupport
SyncAgentCDMUpdates,local:/Healthcare/AzureAPIforFHIRsupport/SyncAgentCDMUpdates/SyncAgentCDMUpdates.1.2.manifest.cdm.json,1.2,sync_agent_cdm_updates
SyncAgentCommon,local:/Healthcare/AzureAPIforFHIRsupport/SyncAgentCommon/SyncAgentCommon.1.2.manifest.cdm.json,1.2,sync_agent_common
Clinical,local:/Healthcare/Clinical/Clinical.1.0.2.manifest.cdm.json,1.0.2,clinical
ClinicalCareTeam,local:/Healthcare/Clinical/ClinicalCareTeam/ClinicalCareTeam.1.2.manifest.cdm.json,1.2,clinical_care_team
ClinicalCore,local:/Healthcare/Clinical/ClinicalCore/ClinicalCore.1.2.manifest.cdm.json,1.2,clinical_core
ClinicalProcedure,local:/Healthcare/Clinical/ClinicalProcedure/ClinicalProcedure.1.2.manifest.cdm.json,1.2,clinical_procedure
ClinicalReasoningCore,local:/Healthcare/Clinical/ClinicalReasoningCore/ClinicalReasoningCore.1.2.manifest.cdm.json,1.2,clinical_reasoning_core
Diagnostics,local:/Healthcare/Diagnostics/Diagnostics.1.0.2.manifest.cdm.json,1.0.2,diagnostics
DiagnosticCore,local:/Healthcare/Diagnostics/DiagnosticCore/DiagnosticCore.1.2.manifest.cdm.json,1.2,diagnostic_core
DiagnosticReport,local:/Healthcare/Diagnostics/DiagnosticReport/DiagnosticReport.1.2.manifest.cdm.json,1.2,diagnostic_report
Financial,local:/Healthcare/Financial/Financial/Financial.1.2.manifest.cdm.json,1.2,financial
Foundational,local:/Healthcare/Foundational/Foundational.1.0.2.manifest.cdm.json,1.0.2,foundational
Commoncore,local:/Healthcare/Foundational/Commoncore/Commoncore.1.2.manifest.cdm.json,1.2,commoncore
HealthcareFoundation,local:/Healthcare/Foundational/HealthcareFoundation/HealthcareFoundation.1.2.manifest.cdm.json,1.2,healthcare_foundation
Medication,local:/Healthcare/Medication/Medication.1.0.2.manifest.cdm.json,1.0.2,medication
MedicationCore,local:/Healthcare/Medication/MedicationCore/MedicationCore.1.2.manifest.cdm.json,1.2,medication_core
WorkflowClinicalProcess,local:/Healthcare/Workflow/WorkflowClinicalProcess/WorkflowClinicalProcess.1.2.manifest.cdm.json,1.2,workflow_clinical_process
WorkflowCore,local:/Healthcare/Workflow/WorkflowCore/WorkflowCore.1.2.manifest.cdm.json,1.2,workflow_core
WorkflowReferral,local:/Healthcare/Workflow/WorkflowReferral/WorkflowReferral.1.2.manifest.cdm.json,1.2,workflow_referral
Supporting Entities,local:/manifests/automotiveAccelerator.1.4.manifest.cdm.json,1.4,supporting_entities
Supporting Entities,local:/manifests/bankingAccelerator.1.4.manifest.cdm.json,1.4,supporting_entities
Supporting Entities,local:/manifests/dynamicsCRM.1.4.manifest.cdm.json,1.4,supporting_entities
Supporting Entities,local:/manifests/electronicMedicalRecordsAccelerator.1.4.manifest.cdm.json,1.4,supporting_entities
Public CDM References,local:/manifests/exploreFirst.1.0.5.manifest.cdm.json,1.0.5,public_cdm_references
Supporting Entities,local:/manifests/financeAndOperations.1.4.manifest.cdm.json,1.4,supporting_entities
Supporting Entities,local:/manifests/higherEducationAccelerator.1.4.manifest.cdm.json,1.4,supporting_entities
Supporting Entities,local:/manifests/insightsApplications.1.4.manifest.cdm.json,1.4,supporting_entities
Supporting Entities,local:/manifests/nonProfitAccelerator.1.4.manifest.cdm.json,1.4,supporting_entities
Power Query Map To Entity Definitions,local:/manifests/pqMapToEntityRoot.1.2.2.manifest.cdm.json,1.2.2,power_query_map_to_entity_definitions
Marketing,local:/Marketing/Marketing.1.1.1.manifest.cdm.json,1.1.1,marketing
EventManagement,local:/Marketing/EventManagement/EventManagement.1.2.manifest.cdm.json,1.2,event_management
GdprConsentManagement,local:/Marketing/GdprConsentManagement/GdprConsentManagement.1.1.manifest.cdm.json,1.1,gdpr_consent_management
LeadManagement,local:/Marketing/LeadManagement/LeadManagement.1.2.manifest.cdm.json,1.2,lead_management
LinkedInLeadGen,local:/Marketing/LinkedInLeadGen/LinkedInLeadGen.1.2.manifest.cdm.json,1.2,linked_in_lead_gen
MarketingSolution,local:/Marketing/MarketingSolution/MarketingSolution.1.2.manifest.cdm.json,1.2,marketing_solution
Retail,local:/Retail/RetailModel.1.0.manifest.cdm.json,1.0,retail
Activities,local:/Retail/Activities/Activities.1.0.manifest.cdm.json,1.0,activities
Asset,local:/Retail/Asset/Asset.1.0.manifest.cdm.json,1.0,asset
SOAClienteling,local:/Retail/SOAClienteling/SOAClienteling.1.0.manifest.cdm.json,1.0,soa_clienteling
SOACommon,local:/Retail/SOACommon/SOACommon.1.0.manifest.cdm.json,1.0,soa_common
Visits,local:/Retail/Visits/Visits.1.0.manifest.cdm.json,1.0,visits
Cloud for Sustainability Data Model CDM manifest,local:/Sustainability/Sustainability.2.0.manifest.cdm.json,2.0,cloudfor_sustainability_data_model_cd_mmanifest
Cloud for Sustainability Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityCarbonDataModel/CloudforSustainabilityCarbonDataModel.1.0.manifest.cdm.json,1.0,cloudfor_sustainability_data_model_cd_mmanifest
Cloud for Sustainability Shared Data Model CDM manifest,local:/Sustainability/CloudforSustainabilitySharedDataModel/CloudforSustainabilitySharedDataModel.1.0.manifest.cdm.json,1.0,cloudfor_sustainability_shared_data_model_cd_mmanifest
Cloud for Sustainability Waste Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityWasteDataModel/CloudforSustainabilityWasteDataModel.1.0.manifest.cdm.json,1.0,cloudfor_sustainability_waste_data_model_cd_mmanifest
Cloud for Sustainability Water Data Model CDM manifest,local:/Sustainability/CloudforSustainabilityWaterDataModel/CloudforSustainabilityWaterDataModel.1.0.manifest.cdm.json,1.0,cloudfor_sustainability_water_data_model_cd_mmanifest
